"date","plot.nm","treatment","vwc"
2019-04-12,48,"I-",0.1661875
2019-04-12,53,"C-",0.169208333333333
2019-04-12,54,"V+",0.206916666666667
2019-04-12,56,"R-",0.147416666666667
2019-04-12,58,"OC-",0.1335
2019-04-13,2,"C-",0.144625
2019-04-13,4,"R+",0.0863333333333333
2019-04-13,5,"R-",0.0638125
2019-04-13,7,"OC-",0.113291666666667
2019-04-13,8,"V+",0.187958333333333
2019-04-13,12,"C+",0.136041666666667
2019-04-13,13,"V+",0.209458333333333
2019-04-13,14,"I-",0.163083333333333
2019-04-13,16,"V-",0.1813125
2019-04-13,17,"S-",0.119166666666667
2019-04-13,21,"OC-",0.158125
2019-04-13,22,"S-",0.1563125
2019-04-13,23,"OC+",0.159
2019-04-13,27,"C+",0.11825
2019-04-13,30,"R-",0.105770833333333
2019-04-13,32,"I-",0.144333333333333
2019-04-13,33,"V-",0.176395833333333
2019-04-13,35,"R+",0.131583333333333
2019-04-13,36,"C+",0.150458333333333
2019-04-13,38,"OC+",0.14125
2019-04-13,39,"C-",0.139833333333333
2019-04-13,41,"R+",0.125291666666667
2019-04-13,42,"OC+",0.1475
2019-04-13,45,"S-",0.148625
2019-04-13,47,"V-",0.18125
2019-04-13,48,"I-",0.161395833333333
2019-04-13,53,"C-",0.165895833333333
2019-04-13,54,"V+",0.190416666666667
2019-04-13,56,"R-",0.143854166666667
2019-04-13,58,"OC-",0.129458333333333
2019-04-14,2,"C-",0.1403125
2019-04-14,4,"R+",0.08175
2019-04-14,5,"R-",0.0626458333333333
2019-04-14,7,"OC-",0.1078125
2019-04-14,8,"V+",0.173375
2019-04-14,12,"C+",0.1315
2019-04-14,13,"V+",0.1995
2019-04-14,14,"I-",0.158395833333333
2019-04-14,16,"V-",0.171354166666667
2019-04-14,17,"S-",0.113708333333333
2019-04-14,21,"OC-",0.1545625
2019-04-14,22,"S-",0.1525625
2019-04-14,23,"OC+",0.154583333333333
2019-04-14,27,"C+",0.112458333333333
2019-04-14,30,"R-",0.100354166666667
2019-04-14,32,"I-",0.1400625
2019-04-14,33,"V-",0.167541666666667
2019-04-14,35,"R+",0.128
2019-04-14,36,"C+",0.146666666666667
2019-04-14,38,"OC+",0.136125
2019-04-14,39,"C-",0.135104166666667
2019-04-14,41,"R+",0.119625
2019-04-14,42,"OC+",0.145166666666667
2019-04-14,45,"S-",0.144479166666667
2019-04-14,47,"V-",0.171875
2019-04-14,48,"I-",0.156958333333333
2019-04-14,53,"C-",0.1631875
2019-04-14,54,"V+",0.181666666666667
2019-04-14,56,"R-",0.140520833333333
2019-04-14,58,"OC-",0.125791666666667
2019-04-15,2,"C-",0.136125
2019-04-15,4,"R+",0.077625
2019-04-15,5,"R-",0.0612916666666667
2019-04-15,7,"OC-",0.102479166666667
2019-04-15,8,"V+",0.163125
2019-04-15,12,"C+",0.127333333333333
2019-04-15,13,"V+",0.191833333333333
2019-04-15,14,"I-",0.152979166666667
2019-04-15,16,"V-",0.163416666666667
2019-04-15,17,"S-",0.1080625
2019-04-15,21,"OC-",0.150791666666667
2019-04-15,22,"S-",0.148958333333333
2019-04-15,23,"OC+",0.150458333333333
2019-04-15,27,"C+",0.106708333333333
2019-04-15,30,"R-",0.0951458333333333
2019-04-15,32,"I-",0.135895833333333
2019-04-15,33,"V-",0.1605625
2019-04-15,35,"R+",0.1245
2019-04-15,36,"C+",0.143333333333333
2019-04-15,38,"OC+",0.1315
2019-04-15,39,"C-",0.130375
2019-04-15,41,"R+",0.113791666666667
2019-04-15,42,"OC+",0.142375
2019-04-15,45,"S-",0.140333333333333
2019-04-15,47,"V-",0.164458333333333
2019-04-15,48,"I-",0.152458333333333
2019-04-15,53,"C-",0.1601875
2019-04-15,54,"V+",0.175208333333333
2019-04-15,56,"R-",0.136854166666667
2019-04-15,58,"OC-",0.122166666666667
2019-04-16,2,"C-",0.131895833333333
2019-04-16,4,"R+",0.0736666666666667
2019-04-16,5,"R-",0.0605
2019-04-16,7,"OC-",0.0973333333333333
2019-04-16,8,"V+",0.153833333333333
2019-04-16,12,"C+",0.123333333333333
2019-04-16,13,"V+",0.18525
2019-04-16,14,"I-",0.148291666666667
2019-04-16,16,"V-",0.156645833333333
2019-04-16,17,"S-",0.102708333333333
2019-04-16,21,"OC-",0.1474375
2019-04-16,22,"S-",0.145229166666667
2019-04-16,23,"OC+",0.146375
2019-04-16,27,"C+",0.101083333333333
2019-04-16,30,"R-",0.0897083333333333
2019-04-16,32,"I-",0.131833333333333
2019-04-16,33,"V-",0.154458333333333
2019-04-16,35,"R+",0.120958333333333
2019-04-16,36,"C+",0.140041666666667
